Language,                English,             Russian
STR_DGM_Module_Device_FactionName, "Grenade Drop Device", "Пристрій скиду на дрони"
STR_DGM_Module_Device_Yes, "Yes", "Так"
STR_DGM_Module_Device_No, "No", "Ні"
STR_DGM_Module_Device_Object, "Drone", "Дрон"
STR_DGM_Module_Device_DESC_Object, "The drone to attach the Drop Device to. By default gets Synced object.", "Дрон для прикріплення системи скиду. За замовчуванням береться об'єкт який синхронізовано з модулем."
STR_DGM_Module_Device_slotNum, "Slots Number", "Кількість слотів"
STR_DGM_Module_Device_DESC_slotNum, "Number of grenade/item slots available on the drone.", "Кількість слотів для гранат/предметів на дроні."
STR_DGM_Module_Device_spawnWithGren, "Spawn With Grenade (Custom List)", "Спавнити з гранатою (Кастом список)"
STR_DGM_Module_Device_DESC_spawnWithGren, "If not empty, the drone will spawn with gren class (first) already attached.", "Якщо не пусто, дрон буде спавнитись з вже прикріпленою вказаною (першою) гранатою."
STR_DGM_Module_Device_addedItems, "Add list", "Список дозволених предметів"
STR_DGM_Module_Device_DESC_addedItems, "List of allowed grenade/item classnames, separated by `;`, `,`, `:`, or space.", "Список дозволених класів гранат/предметів для прикріплення, розділених ; , : або пробілом."
STR_DGM_Module_Device_removedItems, "Remove List", "Список заборонених предметів"
STR_DGM_Module_Device_DESC_removedItems, "List of restricted grenade/item classnames, separated by `;`, `,`, `:`, or space.", "Список заборонених класів гранат/предметів для прикріплення, розділених ; , : або пробілом."
STR_DGM_Module_Device_spawnTempGren, "Spawn decorative grenade", "Спавнити декоративну гранату"
STR_DGM_Module_Device_DESC_spawnTempGren, "If true, a decorative (visual) grenade object will be spawned and attached to the drone.", "Якщо увімкнено, буде створена і прикріплена декоративна (візуальна) граната."
STR_DGM_Module_Device_allowOnlyListed, "Allow Only Custom Listed", "Дозволити лише з Кастомного списку"
STR_DGM_Module_Device_DESC_allowOnlyListed, "If true, only items listed in Custom list can be attached to the drone.", "Якщо увімкнено, тільки предмети з Кастомного списку можуть бути прикріплені до дрона."
STR_DGM_Module_Device_removeChemlights, "Remove Chemlights", "Видалити хімсвітло"
STR_DGM_Module_Device_DESC_removeChemlights, "If true, chemlights and flares will be excluded from the allowed items.", "Якщо увімкнено, хімсвітло і фаєри будуть виключені з дозволених предметів."
STR_DGM_Module_Device_removeSmokes, "Remove Smokes", "Видалити димові"
STR_DGM_Module_Device_DESC_removeSmokes, "If true, smoke grenades will be excluded from the allowed items.", "Якщо увімкнено, димові гранати будуть виключені з дозволених предметів."
STR_DGM_Module_Device_allowSetCharge, "Has Charge", "Має Заряд"
STR_DGM_Module_Device_DESC_allowSetCharge, "If true player can set Charge - amount of grenades dropped simultaneously", "Якщо увімкнено, гравець може встановити Заряд - кількість одночасно скинутих гранат."
